כביש,קטע,"ק""מ מ-",שם מ-,"ק""מ עד",שם עד,"ק""מ הצבה",הצבה,X של מקום ההצבה,Y של מקום ההצבה
77,2,49.8,מחלף המוביל,61.2,צומת בית רימון,49.9,כמאה מטר מצומת המוביל,223525,741241
77,10,61.2,צומת בית רימון,67.2,מחלף גולני,67.2,"0.17 ק""מ מצומת גולני",238378,742176
77,20,67.2,מחלף גולני,75.8,צומת פורייה,67.3,כמאה מטר מצומת גולני,240501,742892
77,30,75.8,צומת פורייה,77.6,כניסה למצפה,75.8,כמאה מטר מצומת פוריה,248192,743803
79,1,0,צומת עין אפק,5,מחלף גלעם,4,"1.2 ק""מ מצומת גלעם",212380,748569
85,2,0,צומת תל עכו,7.1,צומת יסיף,3.9,"3.92 ק""מ מצומת תל עכו",211918,757967
85,20,8.1,צומת אחיהוד,19.2,צומת כרמיאל מערב,8.6,"0.47 ק""מ מצומת אחיהוד",216282,757484
85,26,19.2,צומת כרמיאל מערב,21.1,צומת כרמיאל,,,227190,758851
85,28,21.1,צומת כרמיאל,28,צומת רמה מזרח,25,כמאה מטר מצומת חנניה,230660,759326
85,29,28,צומת רמה מזרח,31.5,צומת חנניה,,,238293,759196
85,30,31.5,צומת חנניה,39,צומת נחל עמוד (קדרים),38.8,"1.03 ק""מ מצומת נחל עמוד",244491,757079
85,40,39,צומת נחל עמוד (קדרים),46.1,צומת עמיעד,44.4,"5.43 ק""מ מצומת נחל עמוד (קדרים)",250278,757406
87,10,0,צומת כפר נחום,9.9,צומת בית צידה,1,"1.07 ק""מ מצומת כפר נחום",252104,753208
87,730,11.1,צומת יהודייה,23.5,צומת קצרין,11.2,כמאה מטר  מצומת יהודיה,266717,762588
87,740,23.5,צומת קצרין,26.1,צומת המפלים,23.6,כמאה מטר מצומת קצרין,,
87,750,26.1,צומת המפלים,35.2,צומת בשן,26.2,כמאה מטר מצומת המפלים,273922,766555
89,20,4.6,צומת כברי,16.5,צומת מעונה,4.7,כמאה מטר מצומת כברי,214080,769029
89,30,20.8,צומת חסן,35,צומת חירם,33.3,"1.72 ק""מ מצומת חירם",236758,769917
89,40,35,צומת חירם,44.2,צומת מירון,41.2,"6.2 ק""מ מצומת חירם",241756,768598
89,50,44.2,צומת מירון,48.6,צומת עין זיתים,46.9,"2.67 ק""מ מצומת מירון",244251,766497
89,60,48.6,צומת עין זיתים,59.6,מחלף אליפלט,59.4,כמאתיים מטר מאליפלט,250731,762150
90,30,183,צומת הערבה,206.2,צומת זוהר,183.3,"0.32 ק""מ מצומת הערבה",229699,544297
90,44,242.3,כניסה לעין גדי,256,כניסה למצפה שלם,246,מצפון לעין גדי,237742,597117
90,50,369.3,צומת שדי תרומות,375.3,צומת טירת צבי,374.8,"0.52 ק""מ מצומת טירת צבי",246976,708793
90,60,375.3,צומת טירת צבי,376.4,כניסה לבית שאן (דרום),376,"0.68 ק""מ מטירת צבי",247327,709966
90,62,376.4,כניסה לבית שאן (דרום),379.6,צומת שאן,378.9,"0.73 ק""מ מצומת שאן",248583,712140
90,64,379.6,צומת שאן,397.7,צומת למנחמיה,380.1,"0.47 ק""מ מצומת שאן",249178,713103
90,66,397.7,צומת למנחמיה,403.8,צומת צמח,402.7,"1.06 ק""מ מצומת צמח",255169,733490
90,70,403.8,צומת צמח,406.5,צומת כנרת,406.3,"0.15 ק""מ מצומת כנרת",253745,736260
90,80,406.5,צומת כנרת,414.9,צומת טבריה,413.5,"1.38 ק""מ מצומת טבריה",251344,742583
90,90,414.9,צומת טבריה,427.3,צומת כפר נחום,421.1,"6.17 ק""מ מצומת טבריה",248198,748778
90,91,427.3,צומת כפר נחום,433.1,צומת כורזים,430,"2.66 ק""מ מצומת כפר נחום",252183,755000
90,92,433.1,צומת כורזים,434.5,צומת עמיעד,434.1,"0.42 ק""מ מצומת עמיעד",251388,757436
90,94,434.5,צומת עמיעד,440.3,צומת ראש פינה,434.6,כמאה מטר מצומת עמיעד,251201,758755
90,100,440.3,צומת ראש פינה,443.5,צומת מחניים,443.4,כמאה מטר מצומת מחניים,252438,765029
90,108,443.5,צומת מחניים,458.4,"צומת כ""ח",458.3,כמאה מטר מצומת מחניים,252984,766598
90,110,458.4,"צומת כ""ח",470.6,צומת המצודות,458.5,כמאה מטר מצומת כח,253692,781475
92,10,1.6,צומת מעגן,16.8,צומת כורסי,1.8,כמאתיים מטר מצומת מעגן,256924,734375
92,720,16.8,צומת כורסי,23.2,צומת מעלה גמלא,23.1,"6.29 ק""מ מצומת כורסי",262057,754200
92,730,23.2,צומת מעלה גמלא,26.1,צומת יהודייה,23.3,"0.14 ק""מ מצומת מעלה גמלא",262158,754402
98,10,0,צומת צמח,1.6,צומת מעגן,0.1,"0.66 ק""מ מצומת צמח",255995,734586
98,20,1.6,צומת מעגן,8.1,צומת חמת גדר,1.9,"0.31 ק""מ מצומת מעגן",256993,734094
99,10,0,צומת המצודות,5.6,צומת חורשת טל,0.1,כמאה מטר מצומת המצודות,256856,792242
222,10,150.2,צומת משאבים,184.1,צומת צאלים,150.3,כמאה מטר מצומת משאבים שדה,172715,551897
222,20,184.1,צומת צאלים,196,צומת גבולות,184.2,כמאה מטר ממצומת גבולות,150246,570666
232,10,0,צומת מעבר רפיח,27.1,צומת מעון,21.7,"5.37 ק""מ מצומת מעון",145660,575429
232,20,27.1,צומת מעון,47.8,צומת סעד-בארי,47.4,"0.4 ק""מ מצומת סעד",155686,597097
232,30,48,צומת סעד,56.3,צומת שער הנגב,55.9,"0.40 ק""מ מצומת שער הנגב",160527,601829
232,32,56.3,צומת שער הנגב,59.7,צומת איבים,56.4,כמאה מטר מצומת  גבים,160964,601991
232,40,59.7,צומת איבים,65.1,צומת חלץ,63.1,"3.4 ק""מ מצומת איבים",164962,607070
232,60,75,צומת גבעתי,78.8,צומת הודיה,78.5,"0.29 ק""מ מצומת הודיה",167104,621077
232,70,78.8,צומת הודיה,84,צומת אשכולות,83.8,"0.25 ק""מ מצומת אשכולות",165711,625777
234,10,0,צומת צאלים,23.2,צומת רעים,22.9,300 מטר מצומת רעים,148110,588432
240,10,0,צומת חולית,3.1,כניסה למחסום סופה,0.3,"0.29 ק""מ מצומת חולית",136696,571170
241,2,0,צומת מעון,8.5,צומת אורים,0.3,"0.34 ק""מ מצומת מעון",146917,580409
241,10,8.5,צומת אורים,17.6,כניסה לאופקים,16.9,"0.74 ק""מ מכניסה לאופקים",163124,581112
241,20,17.6,כניסה לאופקים,21.3,צומת גילת,20.6,"3.06 ק""מ מכניסה לאופקים",166464,582720
242,10,8.7,צומת כיסופים,11.5,צומת גמה,11.4,כמאה מטר מצומת גמה,147253,587952
258,10,0,צומת צפית,22.4,צומת חתרורים,22.3,כמאה מטר מצומת צפית,220005,553379
293,10,0,צומת הגדי,18,מחלף קמה,0.2,"0.24 ק""מ מצומת הגדי",162919,591795
325,10,0,מחלף דבירה,10.3,כניסה ללהב,0.2,כמאתיים מטר מצומת דביר,186494,588425
334,10,13.5,צומת איבים,30.3,צומת שדה צבי,13.6,כמאה מטר מצומת אבים,170808,600322
352,2,0,צומת חלץ,9.1,צומת ניר חן,0.2,"1.58 ק""מ מצומת חלץ",167701,608878
352,10,9.1,צומת ניר חן,12.8,צומת נהורה,12.4,"3.31 ק""מ מצומת ניר חן",171531,616992
353,10,0,צומת קוממיות,24,כניסה ללי און,0.1,כמאה מטר מצומת קוממויות,183839,615162
353,20,24,כניסה ללי און,24.5,צומת לי און,24.2,"0.28 ק""מ מצומת לי און",193902,620168
367,10,0,צומת עציונה,8.5,צומת כפר צוריף,0.3,"0.27 ק""מ מצומת עציונה",200232,621400
375,10,0,צומת האלה,5.4,צומת עציונה,0.1,"1.6 ק""מ מצומת האלה",198489,621296
375,12,5.4,צומת עציונה,17.1,כניסה למבוא ביתר,6.9,"1.54 ק""מ מצומת עציונה",201238,622819
383,10,0,צומת כפר מנחם,18.4,צומת תל עזקה,0.3,"0.35 ק""מ מצומת כפר מנחם",180610,629714
386,9,0,צומת צור הדסה,15.8,צומת אבן ספיר,13.2,"2.58 ק""מ מצומת אבן ספיר",212509,630666
386,10,15.8,צומת אבן ספיר,16.3,צומת כרם,16,"0.25 ק""מ מצומת אבן ספיר",214566,630902
386,20,16.3,צומת כרם,18.5,כניסה לרח המעיין,16.7,כמאתיים מטר אחרי צומת כרם,215401,633491
395,10,0,צומת אשתאול,11.6,כניסה לגבעת יערים,0.2,"0.23 ק""מ מצומת אשתאול",201211,631524
395,20,11.6,כניסה לגבעת יערים,14.5,צומת הר איתן - סטף,14.3,"2.74 ק""מ מכניסה לגבעת יערים",212280,631690
395,30,14.5,צומת הר איתן - סטף,18,צומת כרם,17.8,"0.17 ק""מ מצומת כרם",214670,630975
396,10,0,צומת אבן ספיר,2,כניסה לאורה,0.1,"0.06 ק""מ מצומת אבן ספיר",214302,630841
402,10,0,צומת עדנים,2.1,כניסה לירקונה,0.2,"0.24 ק""מ מצומת עדנים",190845,670875
402,20,2.1,כניסה לירקונה,5.4,צומת כפר סבא,4.7,"2.62 ק""מ מכניסה לירקונה",190147,675104
402,30,5.4,צומת כפר סבא,5.8,צומת רעננה,5.7,"0.30 ק""מ מצומת כפר סבא",189799,675951
404,810,0,צומת עטרות,8,מחלף יגאל,0.4,"0.36 ק""מ מצומת עטרות",220020,640201
406,20,188.7,כניסה לבאר שבע (צפון),193.3,צומת גורל,190,"1.28 ק""מ מכניסה לבאר שבע (צפון)",180158,576864
411,4,0,צומת רחובות מערב,0.2,צומת כפר גבירול,0.2,"1.68 ק""מ מצומת רחובות מערב",178733,644202
411,8,2,צומת כפר גבירול,9.9,צומת ברנר,2.3,300 מטר מצומת כפר גבירול,179217,643854
411,18,13.6,כניסה למזכרת בתיה,21,צומת חולדה,13.7,100 מטר מכניסה למזכרת בתיה,185079,639123
412,10,0,"צומת ביל""ו",1.6,כניסה לרחובות דרך הפרדסים,0.1,כמאה מטר אחרי צומת בילו,183008,642526
412,20,4,מפגש עם מסילת ברזל,5.5,צומת נס ציונה,3.4,"1.44 ק""מ ממפגש עם מסילת ברזל",181170,647275
412,30,6.8,צומת נס ציונה (צפון),8.4,מחלף ראשונים,6.6,"0.75 ק""מ מצומת נס ציונה (צפון)",181281,649997
412,40,8.4,מחלף ראשונים,14.4,צומת בית דגן,13.5,"4.87 ק""מ ממחלף ראשונים",182759,655889
412,50,14.4,צומת בית דגן,16.1,מחלף שפירים,15.6,"1.19 ק""מ מצומת בית רבן",184235,657017
412,60,16.1,מחלף שפירים,18.9,כניסה לאור יהודה (מערב),17,"0.96 ק""מ ממחלף שפירים",185363,657799
412,68,18.9,כניסה לאור יהודה (מערב),21,צומת יהוד (מערב),20,כמאה מטר מצומת יהוד,188538,659145
424,2,0,צומת חטיבה שבע,5.2,כניסה לשעלבים,0.5,"0.47 ק""מ מצומת חטיבה שבע",197824,638419
424,6,5.2,כניסה לשעלבים,7.8,כניסה לגזר,5.3,מאה מטר מכניסה לשעלבים,215061,633352
424,10,7.8,כניסה לגזר,12.8,צומת גזר,10.9,"5.72 ק""מ מכניסה לגזר",190912,645831
425,10,0,מחלף קריית יערים,2.1,כניסה למעלה החמישה,1,"0.10 ק""מ מצומת קרית יערים",208749,634311
431,6,9.5,מחלף מבוא איילון,10.5,מחלף קריית ראשון,10,נתונים מגלאי,,
431,10,10.5,מחלף קריית ראשון,11.6,מחלף ראשון דרום,11,נתונים מגלאי,,
431,20,11.6,מחלף ראשון דרום,12.6,מחלף עין הקורא,12,נתונים מגלאי,,
431,30,12.6,מחלף עין הקורא,14.3,מחלף ראשונים,13,כמאה מטר מצומת עין הקורא,,
431,40,14.3,מחלף ראשונים,16.3,מחלף נס ציונה,15,נתונים מגלאי,,
431,43,16.3,מחלף נס ציונה,21.6,מחלף רמלה דרום,20,נתונים מגלאי,,
431,46,21.6,מחלף רמלה דרום,24.5,מחלף נשרים,23.5,נתונים מגלאי,,
431,50,24.5,מחלף נשרים,29,מחלף ענבה,28,נתונים מגלאי,,
431,70,29,מחלף ענבה,42,כניסה למודיעין-מכבים-רעות,22,באמצע הכביש,,
436,810,0,צומת שמואל,5.8,צומת גבעת זאב,0.1,"0.12 ק""מ מצומת שמואל",217921,637342
443,10,1.5,צומת גינתון,4.6,צומת בן שמן-מצבה,1.5,כמאה מטר מצומת גינתון,191514,651580
443,20,4.6,צומת בן שמן-מצבה,10.1,כניסה למבוא מודיעים,5.1,"0.33 ק""מ מצומת בן שמן- מצבה",194607,651062
443,30,10.1,כניסה למבוא מודיעים,14,צומת שילת,10.5,"חצי ק""מ ממבוא מודיעים",199521,648412
443,832,16.2,צומת מכבים-רעות,31,צומת גבעת זאב,16.5,"0.31 ק""מ מצומת מכבים- רעות",202895,645372
444,10,4.3,צומת בן שמן-מצבה,6.9,צומת נבלט,6.8,כמאה מטר מצומת נבלט,194509,651426
444,20,6.9,צומת נבלט,13.5,"צומת גבעת כ""ח",7.1,"0.19 ק""מ מצומת נבלט",195590,654752
444,22,13.5,"צומת גבעת כ""ח",15.5,כניסה לאלעד,15.4,על יד קיבוץ נחשונים,194838,661946
444,26,15.5,כניסה לאלעד,21.5,צומת ראש העין,18.4,"2.88 ק""מ מכניסה לאלעד",195594,665441
444,30,21.5,צומת ראש העין,23.1,מחלף קסם,21.5,כמאתיים מטר מצומת ראש העין,194151,667886
444,32,23.1,מחלף קסם,26.6,צומת חורשים,27.8,עליד שדי חמד,194620,671687
444,34,26.6,צומת חורשים,29.1,צומת נווה ימין,27.3,"0.66 ק""מ מצומת חורשים",195262,673136
444,40,34.2,צומת אייל,37,צומת טירה,34.3,כמאה מטר מצומת אייל,198262,680611
444,42,37,צומת טירה,41.5,צומת טייבה,38.3,על יד צור נתן,198880,682376
444,44,41.5,צומת טייבה,42.8,צומת שער אפרים,42,כמאה מטר מצומת שער אפרים,200739,687176
446,10,0,צומת שילת,1.5,כניסה ללפיד,0.8,מאה מטר מאיזור תעשיה שילת,,
453,10,0,צומת אל על,4.8,צומת נבלט,0.1,כמאה מטר מצומת אל על,191864,654688
461,10,2.6,"יישוב ת""א דרך הטייסים",4.3,מחלף מסובים,2.7,"0.09 ק""מ מיישוב ת""א דרך הטייסים",182666,661282
461,20,4.3,מחלף מסובים,5.9,צומת השומר,4.6,"0.29  ק""מ ממחלף מסובים",184431,660511
461,40,9.4,צומת יהוד (מערב),10,כניסה ליהוד,9.5,כשלש מאות מטר מצומת יהוד,189582,659310
465,10,0,"צומת גבעת כ""ח",6.5,כניסה לרנתיס,0.2,"0.28 ק""מ מצומת גבעת כ""ח",196256,660196
471,5,0,מחלף בר אילן,0.5,צומת בר אילן (רמת אילן),0.2,ליד הצומת,184813,663441
471,10,6.1,מחלף שערייה (צפון),9,מחלף נחשונים,6.6,"0.5 ק""מ מצומת שערייה (צפון)",191260,663906
471,20,9,מחלף נחשונים,9.8,צומת נחשונים,9.6,"0.65 ק""מ ממחלף נחשונים",194687,663986
483,10,0,צומת גנים,3.6,צומת ראש העין,3,"ליד מקורות ראש העין (ק""מ 3)",192752,667641
553,10,0,מחלף פולג,5.7,מחלף דרור,5.5,כמאתיים מטר מצומת דרור,189003,684723
553,20,5.7,מחלף דרור,8.8,צומת תל מונד,6.6,"0.88 ק""מ מצומת דרור",190752,685087
553,22,8.8,צומת תל מונד,12.8,כניסה לעזריאל,9,"0.21 ק""מ מצומת תל מונד",194793,685280
554,10,0,צומת כפר סבא,3.5,צומת בית ברל,2,"כשני ק""מ מצומת כפר סבא",191714,677817
554,12,3.5,צומת בית ברל,8,כניסה לטירה,4,"0.49 ק""מ מצומת בית ברל",192537,678804
554,18,8,כניסה לטירה,11.9,צומת טירה,11.8,כמאה מטר מצומת טירה,198606,682080
562,10,0,צומת קדימה,4.2,כניסה לצורן,0.4,"0.41 ק""מ מצומת קדימה",192396,685705
574,2,4.9,צומת בחן,11.3,כניסה לבאקה אל-גרבייה,8,על יד הכניסה למגל,204140,699002
574,20,16.7,צומת נרבתה,20.1,צומת משמר הגבול,18.2,"1.45 ק""מ מצומת נרבתה",202092,707869
581,10,4,"צומת הרא""ה",15.2,כניסה למגל,4.3,"0.26 ק""מ מצומת הרא""ה",191382,700010
650,10,0,צומת אלון (שמורת אלון),3.2,צומת תל צבי,0.1,"0.14 ק""מ מצומת אלון",196733,706493
651,10,0,צומת קיט ושיט,8.1,צומת איטונג,3.2,כמאה מטר מצומת  פלים,194718,709538
652,3,0,צומת שפיה,1,כניסה לזכרון יעקב (ישן),0.3,300 מטר מצומת שפייה,205813,708116
652,5,1,כניסה לזכרון יעקב (ישן),3,כניסה לרמת בית צבי,1.1,"0.35 ק""מ מכניסה לזכרון יעקב",197005,720130
652,20,3,כניסה לרמת בית צבי,3.6,כניסה לרננים,3.1,"0.83 ק""מ מכניסה לרמת בית צבי",196418,718706
652,30,3.6,כניסה לרננים,9.2,יישוב בנימינה,6.8,"3.18 ק""מ מכניסה לרננים",195399,715503
652,38,9.2,יישוב בנימינה,10.1,צומת עדה,9.7,"0.55 ק""מ מיישוב בנימינה",195974,713065
652,40,10.1,צומת עדה,13.7,צומת איטונג,10.6,"0.49 ק""מ מצומת עדה",196489,712498
652,48,13.7,צומת איטונג,14.8,צומת תל צבי,13.8,"0.14 ק""מ מצומת איטונג",197812,709558
652,50,14.8,צומת תל צבי,16.5,צומת חנה,16.2,"1.41 ק""מ מצומת תל צבי",198900,707369
653,10,6.9,צומת בנימינה,9,יישוב בנימינה,7,"0.05 ק""מ מצומת בנימינה",193904,713767
653,20,10.1,צומת עדה,17.5,כניסה לרגבים,10.3,"0.19 ק""מ מצומת עדה",196448,713101
654,10,5,צומת שמורת אלוני יצחק,6.9,צומת אביאל,0.1,"0.13 ק""מ משמורת אלוני יצחק",199515,713840
667,10,0,צומת מעלה נורית,27.4,צומת שדי תרומות,0.1,"0.11 ק""מ מצומת מעלה נורית",231629,717692
669,10,0,צומת השיטה,3.7,כניסה לחפציבה,0.1,כמאה מטר מצומת השיטה,241247,716285
669,12,3.7,כניסה לחפציבה,13.3,צומת שלוחות-ניר דוד,12.1,"1.19 ק""מ צומת שלוחות (כביש 90)",246869,709144
671,10,0,כניסה לעפולה (כביש ישן),2.5,יישוב עפולה (לחדרה),0.1,באמצע הכביש הישן,224532,722767
672,10,12.1,כניסה לאבן יצחק,23,מחלף אליקים,22.8,"0.16 ק""מ ממחלף אליקים",206733,726846
672,20,23,מחלף אליקים,32.5,כניסה לדאלית אל-כרמל,23.5,"0.55 ק""מ ממחלף אליקים",205990,727181
672,28,32.5,כניסה לדאלית אל-כרמל,40.1,צומת דמון,40,"0.33 ק""מ מצומת דמון",204258,737802
672,30,40.1,צומת דמון,43.6,יישוב חיפה (לאוניברסיטה),40.2,"0.11 ק""מ מצומת דמון",203871,737833
675,10,0,צומת הסרגל (תענכים),12.6,צומת נבות,0.2,"0.22 ק""מ מצומת הסרגל",222971,721667
716,5,0,צומת יששכר,3.2,צומת נעורה,0.3,"0.31 ק""מ מצומת יששכר",236603,718928
716,10,3.2,צומת נעורה,13.4,צומת לתמרה (צפון),12.5,"0.92 ק""מ מצומת לתמרה",235508,727629
717,20,3.2,צומת נעורה,6.9,כניסה למולדת,3.8,600 מטר מצומת נעורה,237895,720517
721,10,0,מחלף עתלית,1.7,צומת עתלית,0.9,"0.94 ק""מ ממחלף עתלית",196697,735221
721,20,2,צומת אורן,11.3,צומת דמון,2.3,"0.3 ק""מ מצומת אורון",197830,735575
